,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
104,1.0,KS3475,423.22999904999983,423.22999904999983,249.0,249.0
3,1.0,KS3431,422.98000265000013,422.98000265000013,12.0,12.0
152,1.0,KS1538,422.18000531,422.18000531,771.0,771.0
3699,1.0,KS6226,420.63999558,420.63999558,10709.0,10709.0
3782,1.0,KS7166,419.69000267,419.69000267,9416.0,9416.0
3366,1.0,KS6226,418.27999652000005,418.27999652000005,10141.0,10141.0
3776,0.9854098899710936,KS6226,424.25999857,418.06999851,10806.0,10806.0
6526,1.0,KS7166,416.0620025699999,416.0620025699999,14949.0,14949.0
46,1.0,KS3746,411.59999395,411.59999395,205.0,205.0
883,1.0,KS7232,411.20999813000003,411.20999813000003,10034.0,10034.0
922,1.0,KS5035,408.9100012899999,408.9100012899999,7205.0,7205.0
1008,1.0,KS5035,407.30000446,407.30000446,7355.0,7355.0
2997,1.0,KS7166,406.69000066000007,406.69000066000007,7966.0,7966.0
1422,1.0,KS7232,399.94000481999996,399.94000481999996,13256.0,13256.0
